"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"REV3L",143.151333333333,461.612444444444,5.02993648432179,9.09901915526644e-06,0.00092595859965486,-3.72464792142326,"Upregulated"
"ACTA2",265.538,472.538888888889,5.02899375545862,9.12723051954195e-06,0.00092595859965486,-3.72487232132326,"Upregulated"
"PMAIP1",377.954,840.466444444445,5.02643097531652,9.20435983752346e-06,0.00092595859965486,-3.72548243573619,"Upregulated"
"LAMP3",794.731333333333,1409.89111111111,4.99409217134186,1.02347551561686e-05,0.00100723340417338,-3.73319248103765,"Upregulated"
"KCNN3",243.763333333333,434.769777777778,4.97339283876709,1.09532541445333e-05,0.00105500811728303,-3.7381383090516,"Upregulated"
"GNE",84.662,331.639111111111,4.76316854409587,2.1741247674423e-05,0.00200862506575741,-3.78881971197502,"Upregulated"
"TOB1",273.577333333333,570.835777777778,4.69027436393455,2.75308558916151e-05,0.00246796405190775,-3.80657104384061,"Upregulated"
"ZC3HAV1",137.246666666667,389.305111111111,4.6779492060709,2.86495431136554e-05,0.00249416310914457,-3.8095808053598,"Upregulated"
"CTNND1",72.5766666666666,148.884,4.60324437181521,3.64512009966826e-05,0.00300026521658149,-3.82787230406279,"Upregulated"
"DYNC1H1",141.818666666667,598.499555555556,4.54190139553155,4.4387627513621e-05,0.00355650955317102,-3.84295156167221,"Upregulated"
"APOBEC3C",512.032,1630.95977777778,4.53513327090535,4.53608966997155e-05,0.0035712831192976,-3.84461839715026,"Upregulated"
"STX6",48.6053333333333,131.350777777778,4.52761525686899,4.64665504370698e-05,0.00360114961974003,-3.84647061372304,"Upregulated"
"GGCT",182.345333333333,1134.97377777778,4.50301208914686,5.02728530686746e-05,0.00385737637020153,-3.85253717359604,"Upregulated"
"PLK2",47.7513333333333,44.8871111111111,4.49655630343316,5.13212209619044e-05,0.00390472550074859,-3.85413028110431,"Upregulated"
"SORD",147.738666666667,447.140222222222,4.46320054871651,5.70887792698426e-05,0.00427175047528227,-3.86236966837227,"Upregulated"
"FUCA1",424.768666666666,864.884,4.38465512663765,7.32941387706668e-05,0.00530884105943694,-3.88182225952158,"Upregulated"
"LYRM1",77.7306666666668,347.37,4.33055150496661,8.69921527202512e-05,0.00615333555257152,-3.89525931728618,"Upregulated"
"RBM14",253.044666666667,721.705555555556,4.28971352292412,9.89590732632908e-05,0.00678769279792299,-3.90542001535379,"Upregulated"
"RGS16",330.892,520.613555555556,4.27995782441963,0.000102047568218741,0.00694690738836453,-3.90784944053479,"Upregulated"
"DESI2",118.173333333333,349.621111111111,4.24489404314128,0.00011394460760227,0.00769698231027826,-3.91658766700149,"Upregulated"
"SCRIB",144.25,472.169777777778,4.24260648073409,0.000114766137827211,0.00769698231027826,-3.91715808496889,"Upregulated"
"PEA15",298.166666666667,897.074222222222,4.22093394156591,0.000122841615302582,0.00806258584879601,-3.92256420435187,"Upregulated"
"BUD31",155.509333333334,1174.314,4.22081096573889,0.000122888982453485,0.00806258584879601,-3.92259488990415,"Upregulated"
"PGAP1",30.4133333333333,55.6895555555556,4.16516922262786,0.000146251975902098,0.00921232867316959,-3.93648938234073,"Upregulated"
"CSNK1G2",71.6462222222222,174.954814814815,4.16458661757964,0.000146518149871485,0.00921232867316959,-3.93663497085775,"Upregulated"
"INPP1",108.73,172.806444444444,4.11639801652372,0.000170246202555116,0.0104857763124763,-3.94868353343448,"Upregulated"
"TP53I3",234.351333333333,407.394666666667,4.10943710658281,0.000173969079607099,0.0106426759916397,-3.95042496594576,"Upregulated"
"DVL3",41.752,161.762,4.08858809035944,0.000185599736241796,0.0112028000795548,-3.95564217998398,"Upregulated"
"EEF1D",408.012666666667,4241.446,4.06715060704762,0.000198346083326766,0.011737421166278,-3.96100859710951,"Upregulated"
"MDM1",51.1180000000002,260.180444444444,4.03937366244873,0.000216132604643727,0.0127069130028851,-3.96796453935477,"Upregulated"
"GLS2",107.044666666667,77.7153333333333,3.98547349228763,0.000255170270040878,0.0146471203008605,-3.98146886240945,"Upregulated"
"FNTB",42.2753333333334,133.974777777778,3.95908025376276,0.000276700925321586,0.0153930823716007,-3.98808378138194,"Upregulated"
"PTPN22",181.718666666667,586.549777777778,3.95858291182057,0.000277123086654619,0.0153930823716007,-3.98820843992714,"Upregulated"
"CDS2",60.5886666666666,194.198888888889,3.95563798905484,0.000279635664994858,0.0154379348223381,-3.98894658999653,"Upregulated"
"CCSER2",32.424,81.1613333333333,3.95084112422641,0.000283775651644099,0.015477739457745,-3.99014895495759,"Upregulated"
"GPX1",1299.346,5312.53022222222,3.92367369300971,0.000308367559673197,0.0167183226663541,-3.99695904696663,"Upregulated"
"SNX2",144.841333333333,613.213777777778,3.9057321622373,0.00032572692721547,0.017450482834372,-4.00145668191915,"Upregulated"
"AGRN",422.418,982.903555555556,3.89376457772921,0.0003378282986807,0.0176803318858674,-4.00445676037535,"Upregulated"
"DDR1",74.8773333333333,169.060777777778,3.88234575653049,0.000349779750683252,0.0181609045417791,-4.00731923461536,"Upregulated"
"CHMP2A",131.944666666667,1159.16644444444,3.87930713240084,0.000353028407262328,0.0181609045417791,-4.00808094692721,"Upregulated"
"TOR1A",86.632,429.160888888889,3.87583709275681,0.000356774006540991,0.0182498974871307,-4.00895079768063,"Upregulated"
"PSMB7",157.895,1119.01322222222,3.86822426922658,0.000365126547214083,0.0184684679244486,-4.01085910653057,"Upregulated"
"ALCAM",130.612666666667,478.857111111111,3.84683759425334,0.000389615803010752,0.0192764015325648,-4.01621978751629,"Upregulated"
"TM7SF2",183.938,392.165333333333,3.82054947357415,0.000421898212617851,0.0207601435708806,-4.02280809537452,"Upregulated"
"LIG1",155.266,269.486222222222,3.79711221429385,0.000452846583137099,0.0218839949345538,-4.02868069011559,"Upregulated"
"PRKY",81.704,212.946222222222,3.79640786854227,0.000453809779889735,0.0218839949345538,-4.02885715398039,"Upregulated"
"PODXL",55.4146666666666,72.108,3.79167546142217,0.000460332848050321,0.0218839949345538,-4.03004275564574,"Upregulated"
"ISCU",811.254666666666,2390.89555555556,3.79072266971129,0.000461657061243625,0.0218839949345538,-4.03028144915516,"Upregulated"
"NCOA4",258.648666666666,1377.81666666667,3.78303452447122,0.000472477599188,0.0222802717867091,-4.03220738570016,"Upregulated"
"SDHA",380.196666666667,2196.59711111111,3.77461529401035,0.00048460782010936,0.0227338818822287,-4.03431625297076,"Upregulated"
"EZH1",99.2566666666667,233.642444444444,3.75495562213295,0.000514114226074917,0.0236283766643771,-4.03923970337285,"Upregulated"
"ASPA",26.7946666666667,-5.79466666666667,3.75097415041902,0.000520297306927631,0.0237917768531453,-4.04023662449636,"Upregulated"
"MAP2K4",29.8051111111111,112.626444444444,3.7456375169466,0.000528697454684712,0.0240544058025899,-4.04157276600564,"Upregulated"
"RUSC1",91.904,335.675333333333,3.74174968577707,0.000534899271747869,0.024214890032026,-4.04254609526072,"Upregulated"
"TRIM32",36.006,109.849555555556,3.69458321883699,0.000615951006080993,0.0268091073841753,-4.05434882253252,"Upregulated"
"UBB",1016.65933333333,9729.55277777778,3.67033565391256,0.000662097160229527,0.0282621921761244,-4.0604118624699,"Upregulated"
"TANK",98.4913333333333,275.73,3.66892458952036,0.000664882585985697,0.0282621921761244,-4.06076458801192,"Upregulated"
"SNAPC5",36.982,277.468444444444,3.62815559346177,0.000750405041521523,0.0311830624402464,-4.07095003756076,"Upregulated"
"ARAP1",92.18,423.486,3.61058257705116,0.000790443470986786,0.0325303417559743,-4.075336720609,"Upregulated"
"GTF2F2",36.762,129.095777777778,3.57752345492753,0.000871391683557176,0.0352213406380655,-4.08358247716812,"Upregulated"
"PLK3",145.347333333333,420.763555555556,3.5751722480929,0.000877442195433362,0.0353082739442385,-4.08416857354571,"Upregulated"
"TRIP6",249.946666666667,828.467111111111,3.5683759462248,0.000895158971393014,0.0355494791118776,-4.08586244402953,"Upregulated"
"RABGGTA",138.317666666667,418.398333333333,3.5647520942482,0.000904745431268151,0.0355494791118776,-4.08676546195045,"Upregulated"
"TMX2-CTNND1",124.677333333333,246.856888888889,3.53516790448427,0.000986773678950576,0.0377974232737324,-4.09413286118633,"Upregulated"
"BTG1",667.981999999999,2428.32755555556,3.52190216154633,0.00102582692244125,0.0386597020668082,-4.09743365805154,"Upregulated"
"ZBTB20",109.497333333333,174.616,3.51984422272763,0.00103201639093141,0.0386597020668082,-4.09794555482739,"Upregulated"
"TRIM22",402.12,1022.08155555556,3.51259198355055,0.00105411452272169,0.0390681800072011,-4.09974914069017,"Upregulated"
"DMAC2L",69.3666666666667,254.93562962963,3.51100930308055,0.0010589969244795,0.0390681800072011,-4.10014266922217,"Upregulated"
"PKMYT1",77.3573333333333,305.631481481482,3.50542190313932,0.00107640713103584,0.0392975409854779,-4.10153174365703,"Upregulated"
"ZNF195",35.166,76.4946666666667,3.50230360461956,0.00108624242608624,0.0394973450834733,-4.10230683170963,"Upregulated"
"ADA",281.091666666667,1023.512,3.49745828771781,0.00110169564596129,0.039899009514134,-4.10351097789614,"Upregulated"
"ITPR2",103.960666666667,304.167111111111,3.49111609753411,0.00112224091194258,0.0402226634713399,-4.10508672913256,"Upregulated"
"SERINC5",23.172,48.3548888888889,3.48289561071593,0.00114941666361872,0.0409717262693068,-4.10712847664415,"Upregulated"
"TUSC2",78.4793333333332,414.628666666667,3.4677285974341,0.00120121660645484,0.0424836529486019,-4.11089349685538,"Upregulated"
"FHL2",63.3826666666667,69.0933333333333,3.44809131493398,0.00127160478832791,0.0446244564089959,-4.11576409397184,"Upregulated"
"SOCS1",53.8833333333334,88.1212222222222,3.43727114913736,0.00131205476369336,0.0458661923956744,-4.11844574075979,"Upregulated"
"ELOB",179.206,2128.53555555556,3.42757158108775,0.00134935723525553,0.0468087371954159,-4.12084837768699,"Upregulated"
"CEACAM1",36.4693333333333,-2.43311111111111,3.40414322432836,0.00144367750936723,0.0495115764007988,-4.12664653406015,"Upregulated"
"TMEM131",166.636,840.202888888889,3.39954283257728,0.00146292242510058,0.0497943595370701,-4.12778417486069,"Upregulated"
